date,account,sentiment,daily_pnl,win_rate,avg_size,avg_leverage,n_trades,long_count,short_count,long_short_ratio
2023-01-01,0x0001,Fear,-408.7,0.0,596.63,2.1,1,1,0,1000000.0
2023-01-01,0x0002,Fear,-13318.42,0.0,3284.4,3.9,1,0,1,0.0
2023-01-01,0x0003,Fear,-79712.28000000001,0.0,8994.585000000001,4.6,2,2,0,2000000.0
2023-01-01,0x0004,Fear,205.65,1.0,320.85,5.7,1,0,1,0.0
2023-01-01,0x0007,Fear,3102.58,1.0,403.12,7.8,1,0,1,0.0
2023-01-01,0x0008,Fear,798.59,1.0,639.06,8.6,1,1,0,1000000.0
2023-01-01,0x000b,Fear,-2412.49,0.0,874.49,9.4,1,0,1,0.0
2023-01-01,0x000e,Fear,467.36,1.0,388.49,14.0,1,0,1,0.0
2023-01-01,0x000f,Fear,204.07,1.0,292.0,1.5,1,0,1,0.0
2023-01-01,0x0010,Fear,-1106.53,0.0,494.31,2.2,1,1,0,1000000.0
2023-01-01,0x0011,Fear,306.09000000000003,1.0,194.995,3.3499999999999996,2,1,1,1.0
2023-01-01,0x0014,Fear,3540.08,0.5,515.035,6.199999999999999,2,1,1,1.0
2023-01-01,0x0015,Fear,827.26,1.0,1065.64,5.9,1,0,1,0.0
2023-01-01,0x0017,Fear,4161.61,1.0,1076.86,9.5,1,0,1,0.0
2023-01-01,0x0019,Fear,1381.89,1.0,502.26,9.9,1,1,0,1000000.0
2023-01-01,0x001a,Fear,-165.35,0.0,73.49,12.7,1,1,0,1000000.0
2023-01-01,0x001d,Fear,820.37,1.0,417.22,14.7,1,1,0,1000000.0
2023-01-01,0x0021,Fear,-1265.34,0.0,186.16,4.45,2,2,0,2000000.0
2023-01-01,0x0024,Fear,1199.15,1.0,1700.15,7.9,1,1,0,1000000.0
2023-01-01,0x0025,Fear,-560.45,0.5,364.84000000000003,7.3999999999999995,2,0,2,0.0
2023-01-01,0x0026,Fear,462.94,1.0,328.78,9.9,1,0,1,0.0
2023-01-01,0x0028,Fear,305.79,1.0,498.25,9.9,1,1,0,1000000.0
2023-01-01,0x0029,Fear,-1235.9,0.0,267.125,10.5,2,2,0,2000000.0
2023-01-01,0x002b,Fear,3867.6200000000003,0.5,2702.7700000000004,13.95,2,1,1,1.0
2023-01-01,0x002c,Fear,-2375.64,0.0,1130.46,11.3,1,1,0,1000000.0
2023-01-01,0x002d,Fear,379.35,1.0,174.13,1.9,1,0,1,0.0
2023-01-01,0x002e,Fear,-383.91,0.0,807.26,2.4,1,0,1,0.0
2023-01-01,0x002f,Fear,-140.73,0.0,359.39,3.2,1,0,1,0.0
2023-01-01,0x0034,Fear,-2440.93,0.0,1234.47,6.4,1,1,0,1000000.0
2023-01-01,0x0037,Fear,-1976.0900000000001,0.5,1209.905,10.4,2,1,1,1.0
2023-01-01,0x003e,Fear,-1791.31,0.0,263.38,3.4,1,0,1,0.0
